Image,Decoded Value,Expected Value,Verification Result
101504812011.png,101504812011,101504812011,Correto
196950395646.png,196950395646,196950395646,Correto
452019218003.png,452019218003,452019218003,Correto
488395800884.png,488395800884,488395800884,Correto
621875135841.png,621875135841,621875135841,Correto
672065012118.png,672065012118,672065012118,Correto
753431321793.png,753431321793,753431321793,Correto
841593717362.png,841593717362,841593717362,Correto
960221793768.png,960221793768,960221793768,Correto
998293610246.png,998293610246,998293610246,Correto
005820445691.png,005820445691,005820445691,Correto
337483206173.png,337483206173,337483206173,Correto
384528042182.png,384528042182,384528042182,Correto
436112747968.png,436112747968,436112747968,Correto
444473544330.png,444473544330,444473544330,Correto
590629670356.png,590629670356,590629670356,Correto
639194135347.png,639194135347,639194135347,Correto
787643543742.png,787643543742,787643543742,Correto
831477238865.png,831477238865,831477238865,Correto
905089285108.png,905089285108,905089285108,Correto
001622837362.png,001622837362,001622837362,Correto
008167120250.png,008167120250,008167120250,Correto
233571511206.png,233571511206,233571511206,Correto
347749907989.png,347749907989,347749907989,Correto
350183368197.png,350183368197,350183368197,Correto
426724384213.png,426724384213,426724384213,Correto
767055026288.png,767055026288,767055026288,Correto
845036841400.png,845036841400,845036841400,Correto
922149406229.png,922149406229,922149406229,Correto
929870623475.png,929870623475,929870623475,Correto
048459157518.png,048459157518,048459157518,Correto
213170288565.png,213170288565,213170288565,Correto
301097369700.png,301097369700,301097369700,Correto
371433620071.png,371433620071,371433620071,Correto
621156814175.png,621156814175,621156814175,Correto
621616721602.png,621616721602,621616721602,Correto
703672924189.png,703672924189,703672924189,Correto
774545764400.png,774545764400,774545764400,Correto
893570128777.png,893570128777,893570128777,Correto
908494127947.png,908494127947,908494127947,Correto
100912775295.png,100912775295,100912775295,Correto
116866310429.png,116866310429,116866310429,Correto
165406350386.png,165406350386,165406350386,Correto
337875260336.png,337875260336,337875260336,Correto
398776670790.png,398776670790,398776670790,Correto
426790447242.png,426790447242,426790447242,Correto
551646281161.png,551646281161,551646281161,Correto
702055879686.png,702055879686,702055879686,Correto
725067733350.png,725067733350,725067733350,Correto
905724342970.png,905724342970,905724342970,Correto
